layers;11;12;10;7;4
Layer;Data;Train;Runtime
226600;12669827400;7930378600;20600432600
314000;11786593400;7386897800;19173805200
267900;11865607900;7848265200;19714141000
444700;12313793700;7407067200;19721305600
206400;12223917600;7701988500;19926112500
197300;11690663300;7579263100;19270123700
252300;9833703300;4905096500;14739052100
164300;9353794200;8824276700;18178235200
232100;12716117300;8140762000;20857111400
194400;7888260600;5081542700;12969997700

Mean
250000;11234227870;7280553830;18515031700