layers;8;10;15;17;13;9
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  noise_dataset_layer_alternative
60500;147371000;-149567400;-2135900
112600;147991500;-151530700;-3426600
103200;147151000;-148834300;-1580100
99200;150996900;-153502800;-2406700
93700;147836700;-149449800;-1519400
92500;147413700;-153195700;-5689500
86400;148112900;-146712400;1486900
94200;155976800;-150579700;5491300
90800;149662500;-151843600;-2090300
93200;147903200;-151371700;-3375300
107800;148361700;-152734400;-4264900
140300;147574400;-150865300;-3150600
116600;150399100;-150829700;-314000
122500;147050100;-152046200;-4873600
95600;148596600;-151942900;-3250700
100900;146414600;-152583500;-6068000
85900;147941500;-149411100;-1383700
127900;147931600;-153299200;-5239700
88800;148041000;-151477700;-3347900
83700;149210200;-154102900;-4809000

Mean
99815;148596850;-151294050;-2597385