layers;11;20;25;23;17;14
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
168800;44869806800;2824443300;47694418900
185700;45440862300;3095930600;48536978600
205900;43635018600;2849972100;46485196600
180700;43625038300;2799378100;46424597100
226300;41561303500;2733665200;44295195000
195900;40156788100;2663185500;42820169500
233600;41447422500;2893968000;44341624100
253700;44452556300;2582617200;47035427200
177300;44720865200;3013091400;47734133900
263900;44270294700;3116778300;47387336900
186200;43566176800;2872955300;46439318300
240300;42564706800;2696126400;45261073500
277400;41214135600;2819783400;44034196400
194600;40999006300;2684058200;43683259100
240900;41130751900;2649924100;43780916900
173400;40172798700;2624381800;42797353900
239600;43533256000;2841386900;46374882500
173100;45141609200;3064229200;48206011500
196800;43602164600;2735760000;46338121400
181000;41440218300;2849689600;44290088900

Mean
209755;42877239025;2820566230;45698015010