layers;11;12;10;7;4
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset
42900;3253000;2181958200;2185254100
24200;3213500;2057981900;2061219600
29900;3525000;1999002600;2002557500
33300;3233800;1936921200;1940188300
40200;3357600;1922986700;1926384500
47600;3210600;2007035600;2010293800
23300;3385700;1859233000;1862642000
23900;3343300;1892686400;1896053600
24300;3465300;1830362700;1833852300
33400;3317400;1878889500;1882240300
22700;3308400;1831963600;1835294700
24200;3308700;1856266100;1859599000
75200;3290700;1975809600;1979175500
22600;3240300;1856033100;1859296000
22600;3233900;1895253400;1898509900
22700;3150200;1882258900;1885431800
23400;3061100;1968411300;1971495800
24400;3137700;1870474900;1873637000
23500;3200300;1866219700;1869443500
23200;3415300;1935827800;1939266300

Mean
30375;3282590;1925278810;1928591775