layers;3;6;15;24;17;9;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  whole_dataset_layer_alternative
81300;1235399;4800500;6117199
134900;1272300;4750200;6157400
79800;1229999;5197900;6507699
92300;1316900;4934899;6344099
78100;1189799;6162301;7430200
93499;1238200;6051801;7383500
75600;1222300;6124600;7422500
141699;1341800;6116901;7600400
94500;1366799;6070501;7531800
102500;1241099;6119500;7463099
95200;1361800;5992200;7449200
151001;1344900;6432200;7928101
192499;2689001;7803700;10685200
211000;2720200;10230900;13162100
173200;1359300;6071100;7603600
148400;1284100;6034400;7466900
155500;1074000;5932400;7161900
88200;1170499;6095501;7354200
89601;1057499;6108901;7256001
95100;1086000;6064700;7245800

Mean
118694;1390094;6154755;7663544