layers;6;15;20;13;7
Training Iteration: 100
Learning Rate: 0.05

Layer;Data;Train;Runtime  -  clean_dataset_layer_alternative
93300;5860100;-36424300;-30470900
27700;6313500;-32219500;-25878300
46500;8158200;-32543300;-24338600
47500;5731900;-34970000;-29190600
53100;5500700;-31925900;-26372100
48900;5551500;-32197900;-26597500
18600;6110800;-35710500;-29581100
47600;5552700;-33445500;-27845200
21800;5739700;-33506900;-27745400
3000;5812800;-36370200;-30554400
58200;5908900;-32485200;-26518100
33700;5771200;-32470400;-26665500
169500;5839500;-34619500;-28610500
86800;6143000;-32628300;-26398500
61500;5738800;-31314300;-25514000
-7000;7070500;-34264600;-27201100
30500;5658100;-32275700;-26587100
44000;5745300;-32020900;-26231600
37100;6009300;-33553300;-27506900
126300;6106700;-32402100;-26169100

Mean
52430;6016160;-33367415;-27298825